,artist,title,lastPos,rank,weeks,date
0,Shawn Mendes & Camila Cabello,Senorita,2,1,9,2019-08-31
1,Billie Eilish,Bad Guy,1,2,21,2019-08-31
2,Lizzo,Truth Hurts,4,3,16,2019-08-31
3,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,3,4,25,2019-08-31
4,Lil Tecca,Ran$om,8,5,12,2019-08-31
5,Khalid,Talk,5,6,28,2019-08-31
6,Chris Brown Featuring Drake,No Guidance,6,7,11,2019-08-31
7,Ed Sheeran & Justin Bieber,I Don't Care,7,8,15,2019-08-31
8,Post Malone Featuring Young Thug,Goodbyes,9,9,7,2019-08-31
9,Shawn Mendes,If I Can't Have You,10,10,16,2019-08-31
10,Lewis Capaldi,Someone You Loved,14,11,15,2019-08-31
11,Jonas Brothers,Sucker,12,12,25,2019-08-31
12,Drake Featuring Rick Ross,Money In The Grave,13,13,10,2019-08-31
13,Taylor Swift,You Need To Calm Down,18,14,10,2019-08-31
14,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),15,15,44,2019-08-31
15,Blanco Brown,The Git Up,17,16,11,2019-08-31
16,DaBaby,Suge,16,17,21,2019-08-31
17,Ed Sheeran Featuring Khalid,Beautiful People,20,18,8,2019-08-31
18,Taylor Swift,Lover,0,19,1,2019-08-31
19,Ariana Grande & Social House,Boyfriend,19,20,3,2019-08-31
20,"Young Thug, J. Cole & Travis Scott",The London,27,21,13,2019-08-31
21,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer,11,22,2,2019-08-31
22,Sam Smith & Normani,Dancing With A Stranger,22,23,32,2019-08-31
23,Lil Baby & DaBaby,Baby,34,24,5,2019-08-31
24,Luke Combs,Beer Never Broke My Heart,23,25,16,2019-08-31
25,Young Thug Featuring Gunna,Hot,0,26,1,2019-08-31
26,Polo G Featuring Lil Tjay,Pop Out,24,27,22,2019-08-31
27,Panic! At The Disco,"Hey Look Ma, I Made It",21,28,19,2019-08-31
28,Post Malone,Wow.,26,29,35,2019-08-31
29,Halsey,Without Me,25,30,46,2019-08-31
30,Dan + Shay,Speechless,28,31,35,2019-08-31
31,Young Thug Featuring Lil Baby,Bad Bad Bad,0,32,1,2019-08-31
32,Normani,Motivation,0,33,1,2019-08-31
33,Luke Bryan,Knockin' Boots,32,34,17,2019-08-31
34,Saweetie,My Type,33,35,8,2019-08-31
35,Sam Smith,How Do You Sleep?,37,36,5,2019-08-31
36,Ariana Grande,7 Rings,29,37,31,2019-08-31
37,Lil Nas X,Panini,36,38,9,2019-08-31
38,Megan Thee Stallion Featuring DaBaby,Cash Shit,39,39,9,2019-08-31
39,Jason Aldean,Rearview Town,41,40,13,2019-08-31
40,Blake Shelton,God's Country,35,41,21,2019-08-31
41,SHAED,Trampoline,47,42,12,2019-08-31
42,Dan + Shay,All To Myself,31,43,16,2019-08-31
43,Morgan Wallen,Whiskey Glasses,38,44,25,2019-08-31
44,NLE Choppa,Shotta Flow,40,45,18,2019-08-31
45,Jonas Brothers,Only Human,53,46,10,2019-08-31
46,Miley Cyrus,Slide Away,0,47,1,2019-08-31
47,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,43,48,11,2019-08-31
48,Marshmello & Kane Brown,One Thing Right,46,49,9,2019-08-31
49,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,44,50,5,2019-08-31
50,Justin Moore,The Ones That Didn't Make It Back Home,52,51,10,2019-08-31
51,Offset Featuring Cardi B,Clout,51,52,20,2019-08-31
52,Sarah Jeffery,Queen Of Mean,49,53,3,2019-08-31
53,5 Seconds Of Summer,Easier,56,54,13,2019-08-31
